Time,Title,Summary,year,month,day,anger,positivity,joy,disgust,surprise,trust,anticipation,sadness,negative,fear
2021-05-07 11:02:00,χατζηδάκης στον σκαϊ ψεύτες χωρίς χαλινάρι όσοι μιλούν για κατάργηση οκταώρου,αυτοί που μιλούν για επερχόμενη κατάργηση του οκταώρου ξεχνούν ότι είμαστε κράτοςμέλος της εε ακόμα και να ήθελε μια κυβέρνηση να καταργήσει το οκτάωρο το,2021,May,7,0,1,0,0,0,1,0,0,2,1
2021-05-06 14:18:00,ηλιόπουλος σε σκαϊ άμεσα πρόταση στην κομισιόν για άρση στις πατέντες των εμβολίων,στο φλέγον θέμα της άρσης του καθεστώτος πνευματικής ιδιοκτησίας στις πατέντες των εμβολίων για την πανδημία αναφέρθηκε σε σημερινή συνέντευξή του στους,2021,May,6,0,0,0,0,0,0,0,1,1,1
2021-05-06 13:56:00,χατζηδάκης σε σκαϊ 1003στην φαντασία της αντιπολίτευσης η κατάργηση του 8ωρου audio,η κατάργηση του 8ωρου ανήκει στη φαντασία των κομμάτων της αντιπολίτευσης δήλωσε στο σκαϊ 1003 ο υπουργός εργασίας κωστής χατζηδάκης αναφερόμενος στις,2021,May,6,0,1,1,0,0,0,1,0,2,0
2021-05-05 17:54:00,τι περιλαμβάνει το νομοσχέδιο για προστασία εργασίας βία σεξουαλική παρενόχληση,με το νομοσχέδιο για την προστασία της εργασίας που θα θέσουμε σύντομα σε δημόσια διαβούλευση δεν φέρνουμε απλώς προς κύρωση στη βουλή τη σύμβαση 190 του,2021,May,5,0,2,1,0,1,1,0,0,1,0
2021-04-20 08:56:00,χατζηδάκης σε σκαϊ 1003 βασική τομή του νομοσχεδίου η ψηφιακή κάρτα εργασίας τι είπε για έκδοση συντάξεων,μικρή επανάσταση στην έκδοση συντάξεων χαρακτήρισε μέσω του σκαϊ 1003 ο υπουργός εργασίας κωστής χατζηδάκης την τροπολογία που προβλέπει ότι οι δικηγόροι,2021,Apr,20,1,1,0,1,1,0,2,1,2,1
2021-04-20 07:59:00,δώρο πάσχα 2021 πότε καταβάλλεται πώς να το υπολογίσετε,τη μεγάλη τετάρτη 28 απριλίου αναμένεται να καταβληθεί το δώρα πάσχα στους εργαζόμενους του ιδιωτικού τομέα ενώ εαν ο εργοδότης επιθυμεί μπορεί να το,2021,Apr,20,1,0,0,1,0,0,0,0,1,0
2021-04-20 07:14:00,νέο εργασιακό νομοσχέδιο τι ισχύει για απολύσεις και αποζημιώσεις,εξίσωση των εργασιακών δικαιωμάτων για εργατοτεχνίτες και υπαλλήλους προβλέπει το νέο νομοσχέδιο του υπουργείου εργασίας που αναμένεται να έρθει μετά το πάσχα,2021,Apr,20,0,0,0,0,0,0,0,0,1,0
2021-04-14 13:36:00,μητσοτάκης όχι πρόωρες εκτιμήσεις σε συνεργασία με ειδικούς οι αποφάσεις για πάσχα,βαδίζουμε όπως όλα δείχνουν στην τελευταία αλλά και στην πιο ευαίσθητη φάση της πανδημίας έχουμε τρεις συμμάχους και έναν αντίπαλο από τη μία πλευρά,2021,Apr,14,0,0,0,0,0,0,0,0,0,0
2021-03-22 15:49:00,επέκταση του επιδόματος 400 ευρώ σε περισσότερους επιστήμονες,της ναντίν χαρδαλιάεπέκταση του επιδόματος των 400 ευρώ σε περισσότερους επιστήμονες σσ γιατροί δικηγόροι μηχανικοί κλπ που επλήγησαν από την,2021,Mar,22,0,0,0,0,0,0,0,0,0,0
2021-03-21 14:59:00,χατζηδάκης συνδρομή του ιδιωτικού τομέα για επιτάχυνση της καταβολής συντάξεων,τη συνδρομή του ιδιωτικού τομέα στη συνολική προσπάθεια για την επιτάχυνση της καταβολής των συντάξεων προαναγγέλλει ο υπουργός εργασίας και κοινωνικών,2021,Mar,21,0,1,0,0,0,0,0,0,1,0
