Title,Summary,Time
Κουτσούμπας: Το έκτρωμά σας θα μείνει στα χαρτιά," Σε πολύ υψηλούς τόνους κατά της κυβέρνησης της Ν.Δ. ήταν η ομιλία του Γ.Γ. του ΚΚΕ, Δημήτρη Κουτσούμπα, στην Ολομέλεια, αναφερόμενος στο εργασιακό νομοσχέδιο.","16.06.2021, 18:08"
Φουλ επίθεση κατά Μητσοτάκη – Ανυποχώρητος και προκλητικός ο πρωθυπουργός, Σύγκρουση εκτός ορίων στη Βουλή για το αντεργατικό νομοσχέδιο. Αρνητικός πρωταγωνιστής ο πρωθυπουργός. Ονομαστική ψηφοφορία το βράδυ.,"16.06.2021, 18:01"
Φώφη Γεννηματά: Το ν/σ απαιτεί από τον εργαζόμενο να σκύψει το κεφάλι," Άλλο ένα παράδειγμα της συντηρητικής πολιτικής της κυβέρνησης χαρακτήρισε το ν/σ Χατζηδάκη η επικεφαλής του ΚΙΝ.ΑΛΛ. «Κανείς δεν δικαιούται να σιωπήσει ή να κρυφτεί, μπροστά σε αυτές τις εξελίξεις», τόνισε.","16.06.2021, 13:42"
«Ωδή» στις απεργοκτόνες διατάξεις από τον πρωθυπουργό ," Ο Κυριάκος Μητσοτάκης κατασυκοφάντησε το απεργιακό κίνημα επιβεβαιώνοντας το όραμα της κυβέρνησής του: Το δικαίωμα στην απεργία είναι ιερό, αρκεί να μην ασκείται.","16.06.2021, 13:02"
Εκδηλώσεις του ΚΕΘΕΑ Αριάδνη στην Κρήτη για την Παγκόσμια Ημέρα κατά των Ναρκωτικών," Εκδηλώσεις με αφορμή τον εορτασμό της Παγκόσμιας Ημέρας κατά των Ναρκωτικών, πραγματοποιεί το ΚΕΘΕΑ Αριαδνη στην Κρήτη.","16.06.2021, 12:54"
"«Σε μια υπερ-ευέλικτη αγορά, οι εργαζόμενοι θα “βράζουν στο ίδιο καζάνι”»", Η Μαρία Καραμεσίνη είναι καθηγήτρια Οικονομικών της Εργασίας και της Κοινωνικής Πολιτικής και πρόεδρος της Επιτροπής Ισότητας των Φύλων του Παντείου...,"16.06.2021, 11:42"
Μεγάλες συγκεντρώσεις για το αντεργατικό νομοσχέδιο , Άλλη μια «μάχη» κόντρα στο νομοσχέδιο Χατζηδάκη δίνουν συνδικάτα και εργαζόμενοι. Μεγάλη η συμμετοχή στα πρωινά ενώ ακολουθούν τα απογευματινά.,"16.06.2021, 11:16"
"Υπουλη μεθόδευση, μπόλικη υποκρισία", Ηταν τουλάχιστον υποκριτικό από πλευράς υπουργού Παιδείας να σπεύσει να καταθέσει κατεπείγουσα αγωγή (!) κατά όλων όσοι προκήρυξαν για σήμερα απεργία με το πρόσχημα ότι διαταράσσεται η διαδικασία των...,"16.06.2021, 10:36"
Η ώρα των πολιτικών αρχηγών [LIVE], Κορυφώνεται η αντιπαράθεση για το εργασιακό έκτρωμα που φέρνει με μορφή νομοσχεδίου η κυβέρνηση. Στους δρόμους οι εργαζόμενοι.,"16.06.2021, 09:19"
Το ΚΙΝ.ΑΛΛ. κορυφώνει την επίθεση κατά Ν.Δ.," Με τη σημερινή ομιλία που αναμένεται να πραγματοποιήσει στη Βουλή, η Φώφη Γεννηματά πρόκειται να κορυφώσει την επίθεσή της απέναντι στην κυβέρνηση για τα εργασιακά, ένα ζήτημα για το οποίο το Κίνημα Αλλαγής...","16.06.2021, 06:00"
Χαριστική βολή στο 8ωρο με τη βούλα της Ν.Δ.," Από την κυβερνητική πλειοψηφία και μόνον αναμένεται να διασωθεί το εργασιακό νομοσχέδιο στη Βουλή, αφού σύσσωμη η αντιπολίτευση θα καταψηφίσει απόψε τις «εκτρωματικές» διατάξεις που βάζουν στο στόχαστρο...","16.06.2021, 06:00"
«Απρέπεια» Κεγκέρογλου στη Βουλή και απάντηση Ξενογιαννακοπούλου," Σφοδρή αντιπαράθεση πυροδότησε ο τρόπος που αναφέρθηκε ο γραμματέας του Κινήματος Αλλαγής, Βασίλης Κεγκέρογλου στην πρόταση νόμου του ΣΥΡΙΖΑ για τα οικονομικά των κομμάτων, μιλώντας νωρίτερα στην ολομέλεια.","15.06.2021, 23:26"
Σφυροκόπημα από την αντιπολίτευση στο αντεργατικό νομοσχέδιο," Τα πυρά της αντιπολίτευσης συγκεντρώνει για δεύτερη ημέρα, στην Ολομέλεια της Βουλής, το νομοσχέδιο του υπουργού Εργασίας που πλήττει καίρια εργασιακά κεκτημένα.","15.06.2021, 21:05"
Πώς θα κινηθούν την Τετάρτη τα Μέσα Μαζικής Μεταφοράς, Σε τροποποίηση του απεργιακού προγράμματος προχώρησαν οι εργαζόμενοι στις συγκοινωνίες μετά την αγωγή Κεραμέως σε ΑΔΕΔΥ και ΕΚΑ για τις κινητοποιήσεις σε ημέρα Πανελλαδικών εξετάσεων.,"15.06.2021, 18:38"
Παράνομη κρίθηκε η αυριανή απεργία των ναυτεργατικών σωματείων," Παράνομη κρίθηκε από το Μονομελές Πρωτοδικείο Πειραιά (αρ.απόφασης 544/2021) η αυριανή νέα 24ωρη πανελλαδική απεργία σε όλες τις κατηγορίες πλοίων, που έχουν εξαγγείλει τα 13 ναυτεργατικά σωματεία, αντιδρώντας...","15.06.2021, 18:24"
Πρωτοβουλία για την Υπεράσπιση της Εργασίας," Κοινωνιολόγοι, ανθρωπολόγοι, πολιτικοί επιστήμονες, οικονομολόγοι, ιστορικοί, παίρνουν θέση και σκιαγραφούν τις ζοφερές επιπτώσεις των διατάξεων του νομοσχεδίου.","15.06.2021, 17:47"
Στην επίθεση κατά Μενδώνη ο Τσίπρας για το Ταμείο Αλληλοβοήθειας," Με τους απολυμένους του Ταμείου Αλληλοβοήθειας του υπουργείου Πολιτισμού συναντήθηκε ο αρχηγός της αξιωματικής αντιπολίτευσης, κάνοντας λόγο για εκδικητική συμπεριφορά από τη Λίνα Μενδώνη. ","15.06.2021, 17:02"
4ωρη στάση εργασίας την Τετάρτη σε όλα τα ΜΜΕ," Τα Διοικητικά Συμβούλια των Συνεργαζόμενων Ενώσεων στο χώρο του Τύπου και των ΜΜΕ αποφάσισαν να στηρίξουν τις πρωτοβουλίες των Εργατικών Κέντρων και Ομοσπονδιών σ’ όλη τη χώρα (ΓΣΕΕ – ΑΔΕΔΥ), με 4ωρη στάση...","15.06.2021, 16:42"
Για τον δημοκρατικό δρόμο - ξανά," Το περιβόητο εργασιακό νομοσχέδιο που κατεβάζει η κυβέρνηση στη Βουλή, αλλά και οι αντιπολιτευτικοί και συνδικαλιστικοί αγώνες ενάντια σε αυτό, αποκαλύπτουν μεταξύ άλλων μια αλήθεια της σύγχρονης ιστορίας. Οι...","15.06.2021, 16:00"
